Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,15-02-2022,1810,1882,1806.15,1876.05,2600000,4.28
LT,14-02-2022,1843.25,1846.95,1795,1799,2290000,-3.86
LT,11-02-2022,1889,1889,1850,1871.25,1740000,-1.56
LT,10-02-2022,1892,1911,1881,1901,1290000,0.65
LT,09-02-2022,1884.5,1899.9,1875.6,1888.8,1390000,0.7
LT,08-02-2022,1890,1896.95,1848,1875.6,2040000,-0.47
LT,07-02-2022,1932.5,1947.5,1874.55,1884.5,2640000,-3.26
LT,04-02-2022,1948,1957.8,1923.3,1947.95,1440000,0.74
LT,03-02-2022,1981.5,1985,1930,1933.65,2260000,-2.47
LT,02-02-2022,1995.1,2008,1970.6,1982.7,3580000,-0.39
LT,01-02-2022,1928.65,1999.9,1917,1990.5,5390000,4.26
LT,31-01-2022,1890.2,1924,1850.45,1909.2,3160000,0.61
LT,28-01-2022,1916.1,1948,1891.3,1897.55,2230000,-0.7
LT,27-01-2022,1914.55,1922,1867,1910.85,2930000,-0.75
LT,25-01-2022,1895,1931.3,1850.1,1925.3,3000000,1.34
LT,24-01-2022,1955,1959,1881.55,1899.9,2310000,-2.87
LT,21-01-2022,1982.15,1994.8,1943.05,1956.05,2210000,-2.37
LT,20-01-2022,2020,2035,1984.1,2003.5,2030000,-0.86
LT,19-01-2022,2019.9,2027,1987,2020.9,2340000,-0.06
LT,18-01-2022,2075.65,2078.55,2010.55,2022.2,1460000,-2.28
LT,17-01-2022,2044.75,2071.95,2042,2069.4,1860000,1.21
LT,14-01-2022,2014,2049.95,2007,2044.75,3120000,1.31
LT,13-01-2022,1975.55,2029,1975.55,2018.4,2370000,2.24
LT,12-01-2022,1978.5,1984,1960.3,1974.2,1590000,0.67
LT,11-01-2022,1949,1970,1937.65,1961.15,2230000,0.41
LT,10-01-2022,1910,1959.95,1907.25,1953.1,2400000,2.53
LT,07-01-2022,1929.05,1934.95,1897.15,1904.9,1450000,-1.02
LT,06-01-2022,1944.5,1953,1919.6,1924.5,1370000,-1.24
LT,05-01-2022,1940.7,1951,1927.65,1948.6,1710000,0.57
LT,04-01-2022,1922.85,1943,1914.55,1937.55,1640000,0.76
LT,03-01-2022,1895,1937.45,1893.65,1922.85,1910000,1.42
LT,31-12-2021,1887.35,1907.1,1887.3,1895.9,1150000,0.54
LT,30-12-2021,1892.3,1901.7,1880.9,1885.7,1810000,-0.48
LT,29-12-2021,1895,1908.95,1890.05,1894.85,1290000,-0.24
LT,28-12-2021,1872.1,1909,1872.1,1899.5,1920000,1.78
LT,27-12-2021,1859.4,1875.65,1845.8,1866.2,1140000,0.37
LT,24-12-2021,1888.75,1888.75,1850,1859.4,1200000,-1.01
LT,23-12-2021,1883,1887.85,1862.1,1878.45,1680000,0.4
LT,22-12-2021,1827.55,1879.55,1827.55,1871,1690000,2.38
LT,21-12-2021,1817.9,1852.2,1812.5,1827.55,2080000,1.57
LT,20-12-2021,1821,1829.65,1771.5,1799.35,2490000,-2.59
LT,17-12-2021,1866.5,1874.7,1831.7,1847.1,2350000,-1.43
LT,16-12-2021,1892,1908,1866.3,1873.9,2470000,-0.37
LT,15-12-2021,1866,1898.75,1863.65,1880.8,2180000,0.81
LT,14-12-2021,1850,1874,1846.2,1865.7,1690000,0.23
LT,13-12-2021,1893.7,1896.25,1855.05,1861.5,1860000,-0.64
LT,10-12-2021,1879.8,1890.85,1861.05,1873.4,1770000,-0.34
LT,09-12-2021,1835,1884.15,1827.95,1879.8,3790000,3
LT,08-12-2021,1802,1841,1802,1825.05,3430000,1.5
LT,07-12-2021,1790.2,1810,1772.1,1798.1,2100000,0.87
LT,06-12-2021,1799,1821,1778,1782.65,1570000,-1.03
LT,03-12-2021,1799.95,1844.8,1796.55,1801.25,3610000,0.67
LT,02-12-2021,1785.95,1794,1763,1789.2,2810000,0.18
LT,01-12-2021,1764,1794,1762.05,1786,1360000,1.2
LT,30-11-2021,1767.25,1798.9,1751.3,1764.75,3390000,-0.14
LT,29-11-2021,1778,1790.05,1735.15,1767.25,2110000,-0.61
LT,26-11-2021,1820,1841.75,1768.6,1778.15,2800000,-3.88
LT,25-11-2021,1855,1866.85,1838.2,1849.9,1930000,-0.68
LT,24-11-2021,1894,1902.4,1845.95,1862.5,1360000,-1.26
LT,23-11-2021,1850,1895.6,1844.5,1886.35,2030000,1.17
LT,22-11-2021,1898.25,1900,1837.85,1864.5,2410000,-1.71
LT,18-11-2021,1952.9,1954,1893,1897,1880000,-2.86
